,High,Low,Close
0,0.107768,0.109047,0.097979
1,0.11163900000000002,0.120094,0.107725
2,0.109697,0.11694700000000001,0.105966
3,0.1068,0.11142,0.076953
4,0.11074200000000001,0.119075,0.096363
5,0.117272,0.12238199999999999,0.099094
6,0.119309,0.132744,0.115013
7,0.118095,0.129471,0.11474100000000001
8,0.11970499999999999,0.120425,0.11211600000000001
9,0.10694200000000001,0.11081700000000001,0.10147
10,0.104182,0.11006400000000001,0.103094
11,0.102149,0.10356800000000001,0.093416
12,0.11266099999999998,0.116874,0.107829
13,0.085869,0.098927,0.079766
14,0.10273099999999999,0.109973,0.07828099999999999
15,0.098897,0.105387,0.086507
16,0.105303,0.135053,0.098747
17,0.10260899999999999,0.10644300000000001,0.083116
18,0.11352000000000001,0.122794,0.089197
19,0.110846,0.118466,0.092114
20,0.112725,0.12444100000000001,0.108993
21,0.106454,0.111399,0.097059
22,0.104128,0.105456,0.081023
23,0.0971,0.098253,0.078834
24,0.107616,0.11080799999999999,0.081428
25,0.11355499999999999,0.122676,0.108786
26,0.11643699999999998,0.117646,0.084662
27,0.109357,0.11961199999999998,0.10185
28,0.111424,0.11631,0.096484
29,0.107847,0.13388,0.100228
30,0.105217,0.11189400000000001,0.09692200000000001
31,0.098165,0.102406,0.08169900000000001
32,0.104002,0.105262,0.066511
33,0.11146600000000001,0.153136,0.108454
34,0.101495,0.106557,0.067804
35,0.12136400000000001,0.13058499999999998,0.101876
36,0.112472,0.11606,0.08654400000000001
37,0.106584,0.114883,0.07312
38,0.090072,0.103046,0.076916
39,0.112175,0.12106199999999999,0.104646
40,0.10557799999999999,0.107545,0.066356
41,0.119679,0.127834,0.108319
42,0.117405,0.11837,0.098208
43,0.089675,0.091004,0.055323000000000004
44,0.106945,0.110104,0.056912
45,0.107222,0.136848,0.09349500000000001
46,0.116031,0.11673599999999999,0.084814
47,0.093795,0.117278,0.08862
48,0.107028,0.11098499999999999,0.088114
49,0.10308599999999998,0.107128,0.072488
50,0.100872,0.11093299999999999,0.060103
51,0.128958,0.184893,0.127225
52,0.11378800000000001,0.11386500000000001,0.080038
53,0.10831199999999999,0.11444100000000001,0.09328600000000001
54,0.112481,0.121955,0.10351700000000001
55,0.110234,0.137417,0.106012
56,0.101789,0.103415,0.084128
57,0.087602,0.103673,0.078163
58,0.11551099999999999,0.123128,0.106118
59,0.096947,0.099957,0.089264
60,0.11750799999999999,0.119277,0.10216599999999999
61,0.093501,0.093501,0.075326
62,0.088474,0.089124,0.030808
63,0.08161,0.131443,0.060527
64,0.11415399999999999,0.117778,0.06704299999999999
65,0.084707,0.11262,0.07764
66,0.12244300000000001,0.142801,0.117452
67,0.11473499999999999,0.115203,0.09133200000000001
68,0.08570599999999999,0.098972,0.07477
69,0.070677,0.077707,0.051602999999999996
70,0.099893,0.12381700000000001,0.08325199999999999
71,0.114854,0.135877,0.10476700000000001
72,0.096737,0.101339,0.08441799999999999
73,0.109476,0.109895,0.086198
74,0.082197,0.097401,0.077488
75,0.10391600000000001,0.11218900000000001,0.100436
76,0.099274,0.100248,0.082584
77,0.10291099999999999,0.108732,0.08384
78,0.091548,0.100511,0.086907
79,0.10378399999999999,0.157554,0.100476
80,0.146574,0.149017,0.12133699999999999
81,0.099444,0.10303599999999999,0.085638
82,0.091326,0.0947,0.068685
83,0.091299,0.10655999999999999,0.077083
84,0.112919,0.118555,0.096179
85,0.095858,0.101123,0.082205
86,0.126148,0.12650999999999998,0.098386
87,0.096469,0.10556099999999999,0.092302
88,0.064441,0.074647,0.055611
89,0.094176,0.095691,0.061415
90,0.121523,0.15508,0.116671
91,0.11093900000000001,0.11189600000000001,0.092913
92,0.09263400000000001,0.100744,0.087988
93,0.1118,0.11911500000000001,0.094326
94,0.11057,0.12405899999999999,0.101752
95,-0.014015999999999999,-0.001734,-0.034914
96,0.10466199999999999,0.115765,0.063845
97,0.096617,0.135139,0.091683
98,0.12298699999999999,0.127151,0.10736099999999998
99,0.098699,0.11216199999999998,0.09268799999999999
100,0.102114,0.10766099999999999,0.097291
101,0.110508,0.111403,0.084482
102,0.10245599999999999,0.107386,0.073529
103,0.10606099999999999,0.14514200000000002,0.101503
104,0.098455,0.122591,0.089094
105,0.11596500000000001,0.132226,0.093971
106,0.10889000000000001,0.120143,0.095438
107,0.098873,0.11833699999999998,0.091378
